order_id,product_id,product_name,category,quantity,unit_price
order_id,product_id,product_name,category,quantity,unit_price
SO-55990939,934,"cozy rug",home,3,184.74
SO-55990939,778,"illustrated memoir",books,1,41.61
SO-55990939,1036,"durable jacket",clothing,5,196.0
SO-55990939,767,"interactive doll",toys,5,387.56
SO-55990939,778,"illustrated memoir",books,5,41.61
SO-55990939,1252,"classic anthology",books,2,382.5
SO-55990939,502,"cozy rug",home,1,258.05
SO-44779536,637,"compact monitor",electronics,1,158.14
SO-44779536,413,"educational blocks",toys,3,406.07
SO-44779536,856,"cozy rug",home,3,245.05
SO-44779536,486,"colorful puzzle",toys,1,19.45
SO-44779536,456,"cozy table",home,4,105.74
SO-44779536,199,"cozy chair",home,4,147.23
SO-44779536,525,"colorful car",toys,5,197.67
SO-44779536,193,"portable monitor",electronics,5,30.15
SO-44779536,1088,"elegant chair",home,1,241.48
SO-24327594,60,"compact camera",electronics,1,232.1
SO-24327594,190,"cozy lamp",home,2,167.93
SO-24327594,197,"stylish sweater",clothing,4,441.63
SO-64490159,348,"cozy lamp",home,1,200.98
SO-64490159,1075,"modern rug",home,5,117.13
SO-64490159,372,"illustrated guide",books,4,397.7
SO-64490159,559,"modern rug",home,2,106.98
SO-64490159,1040,"compact camera",electronics,3,419.13
SO-64490159,648,"interactive doll",toys,2,135.55
SO-64490159,874,"comfortable sweater",clothing,2,464.03
SO-64490159,179,"wireless headphones",electronics,3,337.43
SO-64490159,285,"smart speaker",electronics,5,441.55
SO-64490159,140,"stylish jeans",clothing,2,46.54
SO-97810546,920,"modern anthology",books,3,439.33
SO-97810546,913,"modern guide",books,1,495.84
SO-97810546,833,"comfortable sweater",clothing,3,474.31
SO-97810546,323,"hardcover guide",books,5,438.54
SO-97810546,1031,"stylish jeans",clothing,5,474.55
SO-97810546,568,"classic anthology",books,3,231.39
SO-36449775,975,"fun doll",toys,2,24.34
SO-36449775,832,"classic jacket",clothing,4,319.98
SO-36449775,872,"comfortable shirt",clothing,5,226.57
SO-36449775,1174,"interactive car",toys,4,494.41
SO-11555886,1092,"elegant chair",home,3,469.6
SO-11555886,906,"interactive blocks",toys,1,410.46
SO-83624287,568,"classic anthology",books,1,231.39
SO-83624287,930,"smart camera",electronics,4,57.98
SO-77680125,793,"smart monitor",electronics,1,367.82
SO-77680125,283,"colorful car",toys,3,159.41
SO-77680125,518,"cozy lamp",home,2,376.89
SO-58379448,352,"educational doll",toys,5,300.39
SO-58379448,55,"fun car",toys,4,33.76
SO-47076762,231,"cozy chair",home,1,415.92
SO-47076762,299,"comfortable shirt",clothing,3,340.23
SO-47076762,562,"portable headphones",electronics,3,174.15
SO-47076762,952,"educational car",toys,4,76.82
SO-47076762,60,"compact camera",electronics,4,232.1
SO-47076762,268,"comfortable jacket",clothing,2,349.82
SO-82513782,707,"interactive doll",toys,4,171.97
SO-82513782,766,"fun blocks",toys,1,221.07
SO-82513782,679,"educational puzzle",toys,3,57.69
SO-82513782,329,"portable speaker",electronics,1,79.69
SO-82513782,449,"portable camera",electronics,3,353.31
SO-82513782,1191,"compact headphones",electronics,5,224.47
SO-82513782,922,"durable jeans",clothing,1,435.01
SO-82513782,579,"portable camera",electronics,2,348.61
SO-82513782,220,"educational car",toys,2,41.28
SO-82513782,392,"educational blocks",toys,1,48.91
SO-02193570,558,"modern novel",books,2,225.24
SO-02193570,264,"hardcover novel",books,2,298.55
SO-52211273,868,"stylish jacket",clothing,5,93.53
SO-52211273,1284,"portable camera",electronics,3,141.33
SO-52211273,486,"colorful puzzle",toys,1,19.45
SO-52211273,1224,"modern guide",books,4,166.23
SO-52211273,484,"cozy lamp",home,5,396.24
SO-52211273,149,"portable monitor",electronics,1,240.9
SO-52211273,1279,"classic guide",books,2,160.65
SO-92963122,775,"hardcover anthology",books,1,146.76
SO-92963122,1270,"modern table",home,2,97.82
SO-92963122,19,"colorful blocks",toys,2,58.23
SO-92963122,877,"stylish shirt",clothing,2,337.38
SO-92963122,46,"interactive puzzle",toys,1,43.88
SO-92963122,42,"wireless speaker",electronics,5,344.27
SO-92963122,955,"modern chair",home,2,340.0
SO-92963122,37,"elegant lamp",home,5,460.74
SO-92963122,95,"wireless camera",electronics,4,80.95
SO-14113685,355,"durable jeans",clothing,4,246.49
SO-14113685,291,"illustrated memoir",books,1,172.44
SO-14113685,480,"classic jacket",clothing,3,383.09
SO-14113685,43,"wireless headphones",electronics,1,481.92
SO-14113685,136,"rustic chair",home,3,423.13
SO-64978650,601,"compact speaker",electronics,3,427.22
SO-64978650,873,"comfortable sweater",clothing,4,166.09
SO-64978650,814,"elegant table",home,1,219.81
SO-23116798,544,"classic guide",books,5,91.53
SO-23116798,165,"modern rug",home,4,102.36
SO-23116798,380,"elegant table",home,4,241.36
SO-23116798,26,"fun blocks",toys,3,39.04
SO-23116798,856,"cozy rug",home,4,245.05
SO-90467618,721,"elegant lamp",home,5,248.56
SO-90467618,604,"modern table",home,2,154.14
SO-90467618,1066,"classic sweater",clothing,1,77.27
SO-90467618,893,"classic novel",books,2,34.74
SO-90467618,1242,"fun doll",toys,1,37.26
SO-97455543,1241,"portable camera",electronics,2,217.05
SO-97455543,554,"elegant chair",home,3,270.75
SO-97455543,359,"classic jacket",clothing,5,258.55
SO-03754578,1177,"colorful puzzle",toys,3,351.6
SO-03754578,970,"smart camera",electronics,4,312.74
SO-03754578,137,"modern lamp",home,3,220.81
SO-03754578,186,"durable jacket",clothing,5,414.7
SO-03754578,1083,"cozy chair",home,5,424.56
SO-03754578,629,"compact headphones",electronics,5,492.34
SO-03754578,1126,"wireless speaker",electronics,4,409.39
SO-03754578,723,"hardcover novel",books,5,141.2
SO-62981087,1142,"classic anthology",books,5,398.44
SO-03894606,976,"elegant chair",home,1,215.55
SO-03894606,705,"smart speaker",electronics,2,112.49
SO-03894606,1143,"durable jacket",clothing,5,89.78
SO-03894606,335,"elegant table",home,4,390.76
SO-03894606,1136,"cozy lamp",home,3,295.07
SO-03894606,1227,"classic memoir",books,1,318.06
SO-03894606,752,"elegant table",home,2,439.18
SO-03894606,1165,"interactive puzzle",toys,5,307.84
SO-03894606,1067,"portable camera",electronics,4,385.5
SO-21799164,148,"colorful puzzle",toys,3,100.16
SO-21799164,530,"rustic chair",home,3,437.84
SO-21799164,857,"portable speaker",electronics,4,62.54
SO-21799164,263,"modern chair",home,5,243.09
SO-21799164,816,"rustic lamp",home,1,403.65
SO-21799164,36,"educational blocks",toys,5,433.76
SO-21799164,418,"illustrated memoir",books,3,347.24
SO-21799164,182,"interactive puzzle",toys,2,49.07
SO-94677884,817,"interactive blocks",toys,3,160.26
SO-94677884,796,"elegant table",home,1,316.63
SO-94677884,158,"modern lamp",home,3,450.39
SO-94677884,1004,"durable jacket",clothing,1,168.98
SO-94677884,1208,"portable camera",electronics,3,254.91
SO-94677884,31,"stylish sweater",clothing,4,311.36
SO-94677884,1170,"rustic chair",home,2,184.63
SO-94677884,633,"educational doll",toys,2,401.7
SO-94677884,458,"educational car",toys,1,456.95
SO-17515481,939,"elegant table",home,2,153.36
SO-17515481,1286,"modern memoir",books,3,400.35
SO-17515481,944,"colorful blocks",toys,1,250.49
SO-17515481,230,"fun car",toys,5,178.79
SO-17515481,935,"illustrated novel",books,5,232.56
SO-17515481,800,"illustrated guide",books,3,182.56
SO-17515481,631,"modern lamp",home,5,51.02
SO-17515481,502,"cozy rug",home,3,258.05
SO-17515481,1265,"classic jeans",clothing,4,15.53
SO-17515481,194,"interactive blocks",toys,5,349.51
SO-94629702,75,"colorful doll",toys,1,390.22
SO-94629702,334,"cozy chair",home,1,298.65
SO-94629702,1188,"cozy table",home,4,485.35
SO-94629702,25,"fun puzzle",toys,1,458.32
SO-94629702,1100,"classic shirt",clothing,5,437.99
SO-43527520,999,"classic jacket",clothing,2,164.36
SO-43527520,30,"wireless monitor",electronics,4,410.96
SO-43527520,514,"smart speaker",electronics,3,61.56
SO-43527520,624,"rustic rug",home,4,193.63
SO-43527520,277,"durable sweater",clothing,4,269.13
SO-43527520,23,"elegant rug",home,5,435.59
SO-43527520,1020,"educational blocks",toys,3,170.01
SO-43527520,952,"educational car",toys,2,76.82
SO-00390907,594,"compact headphones",electronics,4,39.34
SO-00390907,953,"hardcover memoir",books,4,331.26
SO-00390907,592,"fun doll",toys,5,209.66
SO-00390907,524,"stylish jacket",clothing,2,297.08
SO-77196838,60,"compact camera",electronics,5,232.1
SO-77196838,427,"colorful doll",toys,1,29.32
SO-77196838,1143,"durable jacket",clothing,5,89.78
SO-97959209,1164,"wireless speaker",electronics,2,327.15
SO-97959209,1032,"stylish jeans",clothing,4,229.95
SO-97959209,1247,"colorful blocks",toys,2,407.01
SO-97959209,467,"compact monitor",electronics,3,334.98
SO-97959209,972,"smart speaker",electronics,4,244.99
SO-97959209,77,"illustrated anthology",books,2,391.6
SO-89918652,77,"illustrated anthology",books,4,391.6
SO-89918652,147,"interactive doll",toys,2,168.4
SO-89918652,919,"colorful car",toys,5,161.01
SO-89918652,244,"durable jeans",clothing,4,64.55
SO-89918652,200,"portable speaker",electronics,5,87.41
SO-89918652,771,"modern rug",home,1,328.95
SO-89918652,274,"colorful blocks",toys,2,291.23
SO-89918652,442,"elegant chair",home,4,324.46
SO-89918652,918,"hardcover memoir",books,4,180.5
SO-89918652,369,"stylish jeans",clothing,3,236.63
SO-94151381,380,"elegant table",home,3,241.36
SO-94151381,256,"classic guide",books,4,100.57
SO-94151381,1057,"stylish sweater",clothing,3,20.52
SO-94151381,1035,"hardcover novel",books,4,43.06
SO-94151381,250,"fun puzzle",toys,5,331.54
SO-94151381,1165,"interactive puzzle",toys,5,307.84
SO-94151381,1016,"wireless speaker",electronics,4,475.48
SO-23114373,564,"elegant chair",home,5,6.13
SO-23114373,385,"cozy lamp",home,4,423.41
SO-23114373,597,"fun puzzle",toys,2,37.09
SO-23114373,40,"hardcover novel",books,5,291.28
SO-23114373,1067,"portable camera",electronics,3,385.5
SO-23114373,708,"compact monitor",electronics,1,256.11
SO-23114373,1202,"portable headphones",electronics,2,116.36
SO-14967939,693,"rustic table",home,4,228.05
SO-14967939,847,"interactive blocks",toys,2,217.21
SO-14967939,445,"portable monitor",electronics,4,328.97
SO-14967939,1254,"hardcover novel",books,3,273.36
SO-14967939,774,"colorful doll",toys,2,292.44
SO-14967939,855,"comfortable jacket",clothing,2,280.66
SO-14967939,116,"rustic chair",home,4,301.05
SO-14967939,1266,"elegant table",home,5,488.41
SO-14967939,619,"modern guide",books,1,419.58
SO-92322574,373,"smart headphones",electronics,1,289.18
SO-41893081,214,"elegant table",home,2,493.88
SO-41893081,1151,"colorful puzzle",toys,1,480.87
SO-41893081,31,"stylish sweater",clothing,2,311.36
SO-76958405,525,"colorful car",toys,3,197.67
SO-06787120,852,"classic anthology",books,1,197.18
SO-06787120,522,"interactive doll",toys,5,173.51
SO-06787120,17,"elegant rug",home,5,282.48
SO-06787120,152,"illustrated anthology",books,5,98.83
SO-47242795,286,"interactive blocks",toys,1,218.04
SO-47242795,892,"modern anthology",books,1,375.51
