return_id,product_id,product_name,refunded_amount
return_id,product_id,product_name,refunded_amount
RET-17559186,1174,"interactive car",494.41
RET-17559186,832,"classic jacket",639.96
RET-49349408,707,"interactive doll",687.88
RET-49349408,766,"fun blocks",221.07
RET-49349408,679,"educational puzzle",173.07
RET-49349408,329,"portable speaker",79.69
RET-49349408,449,"portable camera",1059.93
RET-49349408,1191,"compact headphones",1122.35
RET-49349408,922,"durable jeans",435.01
RET-49349408,579,"portable camera",697.22
RET-49349408,220,"educational car",82.56
RET-44403773,868,"stylish jacket",467.65
RET-44403773,1284,"portable camera",423.99
RET-44403773,486,"colorful puzzle",19.45
RET-44403773,1224,"modern guide",664.92
RET-44403773,484,"cozy lamp",1981.2
RET-44403773,149,"portable monitor",240.9
RET-44403773,1279,"classic guide",160.65
RET-70973150,37,"elegant lamp",921.48
RET-70973150,877,"stylish shirt",337.38
RET-50206024,601,"compact speaker",427.22
RET-50206024,873,"comfortable sweater",498.27
RET-50206024,814,"elegant table",219.81
RET-18894582,75,"colorful doll",390.22
RET-18894582,334,"cozy chair",298.65
RET-18894582,1188,"cozy table",1941.4
RET-18894582,25,"fun puzzle",458.32
RET-18894582,1100,"classic shirt",1751.96
RET-76557074,594,"compact headphones",157.36
RET-76557074,953,"hardcover memoir",1325.04
RET-76557074,592,"fun doll",1048.3
RET-76557074,524,"stylish jacket",594.16
RET-65385953,200,"portable speaker",262.23
RET-65385953,442,"elegant chair",973.38
RET-65385953,919,"colorful car",644.04
RET-65385953,918,"hardcover memoir",180.5
RET-65385953,147,"interactive doll",168.4
RET-65385953,369,"stylish jeans",473.26
RET-96738363,1266,"elegant table",976.82
RET-96738363,847,"interactive blocks",217.21
RET-96738363,1254,"hardcover novel",273.36
RET-96738363,619,"modern guide",419.58
RET-96738363,774,"colorful doll",292.44
RET-96738363,855,"comfortable jacket",280.66
RET-96738363,693,"rustic table",228.05
RET-20944793,286,"interactive blocks",218.04
RET-20944793,892,"modern anthology",375.51
RET-20944793,155,"colorful car",208.11
RET-20944793,586,"hardcover anthology",736.83
RET-20944793,1180,"compact monitor",1004.4
RET-20944793,1105,"classic sweater",377.97
RET-20944793,772,"educational car",1003.32
RET-74392517,553,"smart camera",551.02
RET-74392517,96,"rustic rug",46.4
