return_id,order_id,customer_id,reason,return_date,refunded_amount
RET-22867171,SO-00102323,CUST-3577,"arrived damaged",2025-05-24,647.85
RET-79790765,SO-00158133,GUEST-101176,"arrived damaged",2025-04-05,1784.08
RET-96410568,SO-00190157,CUST-4211,"arrived damaged",2025-05-24,1937.99
RET-10941993,SO-00760467,CUST-3622,"arrived damaged",2025-01-19,6887.59
RET-74589884,SO-00780878,CUST-3580,"arrived damaged",2024-12-13,1169.15
RET-28586276,SO-01194331,GUEST-100305,"arrived damaged",2025-03-26,6851.76
RET-44845390,SO-01558513,CUST-5032,"arrived damaged",2024-11-09,674.86
RET-10281977,SO-01663934,CUST-4101,"arrived damaged",2025-02-02,3497.93
RET-91032147,SO-02075096,CUST-4607,"arrived damaged",2025-05-02,228.05
RET-94799681,SO-02081299,CUST-5023,"arrived damaged",2024-11-25,5832.82
RET-31974456,SO-02380248,CUST-4445,"arrived damaged",2024-11-15,2020.21
RET-48114857,SO-02412313,GUEST-100146,"arrived damaged",2025-01-21,9537.3
RET-85691879,SO-02434547,CUST-4619,"arrived damaged",2025-07-07,1769.34
RET-63143563,SO-02464886,CUST-3654,"arrived damaged",2024-12-31,1309.19
RET-50761067,SO-02707345,CUST-4907,"arrived damaged",2024-10-21,4532.06
RET-46788149,SO-03240079,CUST-3963,"arrived damaged",2025-07-19,4145.21
RET-13968324,SO-03248015,CUST-4285,"arrived damaged",2024-11-26,1531.66
RET-87419078,SO-03435967,CUST-3796,"arrived damaged",2024-12-13,6576.38
RET-92007698,SO-04041743,CUST-5203,"arrived damaged",2025-07-02,6736.91
RET-24144465,SO-04051103,CUST-3896,"arrived damaged",2024-12-01,2482.54
RET-34154635,SO-04114763,CUST-3682,"arrived damaged",2025-06-26,436.28
RET-92189849,SO-04318882,CUST-3450,"arrived damaged",2024-09-17,9081.01
RET-89722713,SO-04467507,GUEST-100604,"arrived damaged",2025-05-06,1148.13
RET-12611479,SO-04595240,CUST-4962,"arrived damaged",2025-06-24,1897.8
RET-54709797,SO-04762294,CUST-4449,"arrived damaged",2025-01-08,1613.83
RET-15678686,SO-04842982,GUEST-100913,"arrived damaged",2025-03-26,1270.29
RET-67463401,SO-04920617,CUST-3533,"arrived damaged",2025-06-04,613.34
RET-90104662,SO-05220047,CUST-4399,"arrived damaged",2025-01-19,651.11
RET-28588479,SO-05510645,CUST-3767,"arrived damaged",2024-09-24,6838.67
RET-09877252,SO-05518876,CUST-3898,"arrived damaged",2025-07-20,1301.74
RET-26511981,SO-05648100,CUST-4591,"arrived damaged",2024-11-15,3281.14
RET-90437012,SO-05763574,CUST-4345,"arrived damaged",2025-03-17,7644.21
RET-80656356,SO-05766693,GUEST-100519,"arrived damaged",2025-05-14,3347.67
RET-41187837,SO-06311550,CUST-5061,"arrived damaged",2025-04-25,2415.22
RET-80594538,SO-06697171,CUST-4471,"arrived damaged",2025-05-11,617.37
RET-19671473,SO-06991973,GUEST-100805,"arrived damaged",2024-12-23,916.82
RET-61154999,SO-07029235,CUST-4245,"arrived damaged",2025-05-13,1070.57
RET-86883450,SO-07222992,CUST-3869,"arrived damaged",2024-08-19,6284.05
RET-98931424,SO-07288428,CUST-3600,"arrived damaged",2025-01-15,766.22
RET-97102350,SO-07357491,CUST-5063,"arrived damaged",2024-08-21,408.73
RET-28276910,SO-07607673,CUST-5337,"arrived damaged",2024-08-10,2696.8
RET-18072477,SO-08081480,CUST-3918,"arrived damaged",2025-07-13,3141.08
RET-85171179,SO-08504670,CUST-5189,"arrived damaged",2025-06-12,10184.44
RET-19696131,SO-08681941,CUST-3525,"arrived damaged",2025-06-03,4946.01
RET-89134002,SO-08684282,CUST-4169,"arrived damaged",2024-12-25,1026.36
RET-95666988,SO-08803983,CUST-5023,"arrived damaged",2025-05-04,863.36
RET-48703358,SO-09915328,CUST-5241,"arrived damaged",2025-03-23,1205.67
RET-53274255,SO-09964422,CUST-4545,"arrived damaged",2025-03-15,4214.69
RET-20949872,SO-10270456,CUST-4992,"arrived damaged",2025-02-13,1281.66
RET-70800714,SO-10320999,GUEST-100413,"arrived damaged",2024-12-12,412.88
RET-08280146,SO-10453607,CUST-4913,"arrived damaged",2025-02-18,2364.81
RET-59652468,SO-10454344,CUST-4649,"arrived damaged",2024-11-09,3317.94
RET-64597672,SO-10470848,CUST-5074,"arrived damaged",2025-02-16,498.07
RET-18835261,SO-10498837,CUST-5096,"arrived damaged",2025-04-01,2579.62
RET-81837209,SO-10630467,CUST-4744,"arrived damaged",2025-07-19,1232.88
RET-37609457,SO-10773835,CUST-4645,"arrived damaged",2024-09-30,7333.6
RET-39320361,SO-11025661,CUST-3865,"arrived damaged",2025-01-27,3164.45
RET-60654755,SO-11813459,CUST-3929,"arrived damaged",2025-03-28,2924.68
RET-04949826,SO-11849422,CUST-4130,"arrived damaged",2025-01-19,1223.82
RET-98065902,SO-12122319,CUST-4544,"arrived damaged",2024-12-27,5548.96
RET-13110372,SO-12140809,CUST-5273,"arrived damaged",2025-02-16,5262.82
RET-79871286,SO-12259529,CUST-3648,"arrived damaged",2025-04-29,7422.97
RET-35163506,SO-12303142,CUST-4431,"arrived damaged",2025-05-22,5405.02
RET-92890171,SO-12529469,CUST-5043,"arrived damaged",2025-06-22,2269.32
RET-45894123,SO-13136350,CUST-3758,"arrived damaged",2025-03-21,1720.22
RET-96671877,SO-13294475,GUEST-100761,"arrived damaged",2025-07-20,188.9
RET-15809915,SO-13352186,GUEST-100649,"arrived damaged",2024-11-19,206.7
RET-79407650,SO-13479568,CUST-4454,"arrived damaged",2024-10-06,509.82
RET-21670358,SO-13685133,CUST-3572,"arrived damaged",2025-02-11,1895.5
RET-87833688,SO-13727127,GUEST-100334,"arrived damaged",2024-10-27,7626.08
RET-04263526,SO-13811487,CUST-4512,"arrived damaged",2025-01-15,983.35
RET-31016766,SO-14284560,CUST-3698,"arrived damaged",2024-10-07,207.32
RET-57054265,SO-14544318,CUST-4859,"arrived damaged",2025-01-26,7582.07
RET-63500435,SO-14691552,CUST-3445,"arrived damaged",2024-12-13,3138.44
RET-91389656,SO-15681377,CUST-3810,"arrived damaged",2025-05-12,223.96
RET-54013394,SO-15799843,CUST-4040,"arrived damaged",2024-12-06,1801.85
RET-63354213,SO-16146222,CUST-4733,"arrived damaged",2025-03-28,2877.27
RET-45908178,SO-16401728,CUST-3899,"arrived damaged",2025-07-10,2415.47
RET-71707589,SO-16405948,CUST-3674,"arrived damaged",2024-11-30,737.75
RET-76306999,SO-16447608,CUST-3875,"arrived damaged",2025-01-08,3290.34
RET-89231145,SO-17171444,CUST-5137,"arrived damaged",2024-12-17,6067.21
RET-07425911,SO-17279912,CUST-4144,"arrived damaged",2025-07-14,4038.43
RET-40380527,SO-17298506,CUST-3844,"arrived damaged",2025-01-06,6779.27
RET-40497539,SO-17308908,CUST-3786,"arrived damaged",2024-10-11,2888.69
RET-97212095,SO-17320596,CUST-3752,"arrived damaged",2024-10-23,613.46
RET-71445627,SO-17798897,CUST-4591,"arrived damaged",2025-02-25,132.54
RET-11446463,SO-18632716,CUST-3670,"arrived damaged",2025-03-07,5926.48
RET-64412575,SO-19124568,CUST-4931,"arrived damaged",2024-12-31,1874.93
RET-00553305,SO-19374166,CUST-5322,"arrived damaged",2025-02-19,257.74
RET-51416809,SO-19644891,CUST-5264,"arrived damaged",2024-10-22,2040.81
RET-34104261,SO-19708153,CUST-4432,"arrived damaged",2025-05-15,937.5
RET-21860731,SO-19982970,CUST-3651,"arrived damaged",2025-02-02,429.17
RET-88836231,SO-20104304,CUST-5195,"arrived damaged",2025-07-16,1911.75
RET-67803264,SO-20289056,GUEST-100573,"arrived damaged",2025-06-05,9517.2
RET-24025463,SO-20835102,CUST-3781,"arrived damaged",2024-08-17,2148.69
RET-91092859,SO-21120271,CUST-4880,"arrived damaged",2025-04-07,432.73
RET-61812491,SO-21580827,CUST-4830,"arrived damaged",2025-04-04,4025.37
RET-40632951,SO-21916471,CUST-5270,"arrived damaged",2025-07-14,642.6
RET-91150633,SO-21936938,CUST-5038,"arrived damaged",2025-01-13,2183.63
RET-30813172,SO-22181812,CUST-5271,"arrived damaged",2025-04-29,505.56
RET-25761067,SO-22468690,CUST-3920,"arrived damaged",2024-11-14,1465.74
RET-20975948,SO-22484557,CUST-4689,"arrived damaged",2024-11-22,1939.72
RET-67810130,SO-23307813,CUST-3670,"arrived damaged",2024-10-28,3152.59
RET-80516237,SO-23620379,CUST-3609,"arrived damaged",2025-02-09,4310.28
RET-18829278,SO-24068508,CUST-4401,"arrived damaged",2025-03-08,641.77
RET-58263412,SO-24126058,CUST-4672,"arrived damaged",2025-06-09,6827.1
RET-47573085,SO-24566828,CUST-3708,"arrived damaged",2025-06-10,102.1
RET-18551299,SO-24909666,CUST-4443,"arrived damaged",2025-06-24,3765.98
RET-64021303,SO-25039990,CUST-4934,"arrived damaged",2025-05-30,2552.95
RET-47814100,SO-25611478,CUST-4441,"arrived damaged",2025-05-13,5655.87
RET-44217953,SO-26050001,CUST-3823,"arrived damaged",2025-07-08,2245.46
RET-20540223,SO-26204466,CUST-3787,"arrived damaged",2025-03-06,1789.52
RET-81464432,SO-26613777,CUST-3984,"arrived damaged",2025-06-25,2286.21
RET-68736109,SO-26974344,CUST-4415,"arrived damaged",2025-07-15,4240.0
RET-65411536,SO-26983081,GUEST-100041,"arrived damaged",2025-01-23,2638.3
RET-68156358,SO-27104122,CUST-5234,"arrived damaged",2025-02-19,1175.89
RET-33504184,SO-27459739,CUST-4378,"arrived damaged",2025-01-30,3799.01
RET-92147570,SO-27862477,CUST-5121,"arrived damaged",2024-12-10,3138.88
RET-09793639,SO-27933114,CUST-4771,"arrived damaged",2025-06-15,717.92
RET-73107557,SO-28319636,CUST-4813,"arrived damaged",2025-01-02,4302.46
RET-84079539,SO-28572485,CUST-5076,"arrived damaged",2025-06-20,2996.77
RET-16695292,SO-28751072,GUEST-101127,"arrived damaged",2025-02-28,3291.78
RET-34654365,SO-29011568,CUST-5199,"arrived damaged",2024-12-26,7772.84
RET-56506329,SO-29028072,CUST-4513,"arrived damaged",2024-08-22,6776.56
RET-94900022,SO-29095863,CUST-4815,"arrived damaged",2024-10-30,1639.66
RET-64581841,SO-30142932,CUST-3570,"arrived damaged",2024-12-31,3019.16
RET-64427661,SO-30301389,GUEST-101189,"arrived damaged",2024-11-18,556.46
RET-85530387,SO-30311193,CUST-5115,"arrived damaged",2024-10-12,2212.04
RET-36739891,SO-30332349,CUST-3949,"arrived damaged",2024-09-02,178.96
RET-09031757,SO-30412190,CUST-4629,"arrived damaged",2024-12-18,5985.91
RET-10016860,SO-30666641,CUST-4058,"arrived damaged",2024-08-24,3927.21
RET-12951801,SO-31222242,CUST-4710,"arrived damaged",2024-11-01,3212.4
RET-37311310,SO-31243436,CUST-4935,"arrived damaged",2024-12-10,6522.28
RET-98715582,SO-31281583,CUST-4544,"arrived damaged",2024-08-29,1587.3
RET-90223771,SO-31390992,CUST-3831,"arrived damaged",2024-10-10,925.85
RET-04086412,SO-32236560,CUST-5179,"arrived damaged",2024-11-19,4676.05
RET-17682457,SO-32600264,CUST-4932,"arrived damaged",2025-06-03,5360.56
RET-83691781,SO-32979142,CUST-4152,"arrived damaged",2025-02-13,1162.53
RET-27370225,SO-33143130,CUST-5087,"arrived damaged",2024-08-25,10310.78
RET-63118318,SO-33340660,CUST-4774,"arrived damaged",2025-02-08,2214.83
RET-12734263,SO-33352905,CUST-5337,"arrived damaged",2024-10-08,580.07
RET-22198417,SO-33532077,CUST-3897,"arrived damaged",2025-03-15,1083.53
RET-04761033,SO-33600159,CUST-4377,"arrived damaged",2024-11-09,1704.76
RET-00279232,SO-33769440,GUEST-100573,"arrived damaged",2025-07-19,10285.5
RET-28385308,SO-34339544,GUEST-100778,"arrived damaged",2025-07-16,4842.33
RET-84264172,SO-34482818,CUST-4627,"arrived damaged",2024-11-05,3553.21
