product_id,product_name,return_reason,product_category,order_count,return_count,total_refunded,avg_refund,return_rate_percent
652,"classic anthology","changed mind",books,36,6,4042.09,673.68,16.67
1095,"classic memoir","changed mind",books,51,8,751.59,93.95,15.69
127,"illustrated anthology","wrong item",books,43,6,3905.28,650.88,13.95
1142,"classic anthology","changed mind",books,51,7,5179.72,739.96,13.73
886,"illustrated guide","arrived damaged",books,47,6,3582.0,597.0,12.77
1224,"modern guide","wrong item",books,42,5,2825.91,565.18,11.9
18,"hardcover guide","changed mind",books,34,4,481.95,120.49,11.76
174,"classic memoir","arrived damaged",books,68,8,8591.0,1073.88,11.76
127,"illustrated anthology","changed mind",books,43,5,5532.48,1106.5,11.63
835,"modern memoir",defective,books,44,5,2528.64,505.73,11.36
835,"modern memoir","wrong item",books,44,5,5057.28,1011.46,11.36
639,"classic novel","wrong item",books,53,6,4782.44,797.07,11.32
312,"illustrated memoir","wrong item",books,45,5,3152.64,630.53,11.11
473,"hardcover memoir","wrong item",books,54,6,2675.82,445.97,11.11
784,"illustrated memoir","wrong item",books,45,5,686.24,137.25,11.11
1171,"illustrated anthology","wrong item",books,45,5,7996.68,1599.34,11.11
77,"illustrated anthology","found a better price",books,64,7,4307.6,615.37,10.94
153,"classic anthology","wrong item",books,46,5,2124.36,424.87,10.87
384,"classic guide","wrong item",books,37,4,4671.92,1167.98,10.81
47,"modern guide","arrived damaged",books,47,5,1921.95,384.39,10.64
533,"modern memoir",defective,books,47,5,1880.28,376.06,10.64
549,"modern anthology","changed mind",books,48,5,1918.7,383.74,10.42
953,"hardcover memoir",defective,books,48,5,4968.9,993.78,10.42
1233,"classic anthology","arrived damaged",books,48,5,2572.92,514.58,10.42
50,"illustrated guide","wrong item",books,39,4,2922.37,730.59,10.26
430,"hardcover novel","wrong item",books,49,5,6705.44,1341.09,10.2
745,"hardcover novel",defective,books,59,6,2487.24,414.54,10.17
698,"classic anthology","arrived damaged",books,50,5,4011.15,802.23,10.0
958,"classic guide","wrong item",books,60,6,4282.98,713.83,10.0
1139,"modern guide","arrived damaged",books,50,5,540.9,108.18,10.0
783,"modern guide","wrong item",books,51,5,2472.9,494.58,9.8
1056,"illustrated guide","changed mind",books,51,5,2853.0,570.6,9.8
166,"modern guide","found a better price",books,41,4,961.5,240.38,9.76
460,"classic guide","wrong item",books,41,4,3982.4,995.6,9.76
1210,"classic memoir","wrong item",books,41,4,3311.42,827.86,9.76
510,"hardcover anthology","wrong item",books,62,6,5150.64,858.44,9.68
73,"modern memoir","product did not match description",books,52,5,5036.76,1007.35,9.62
227,"hardcover anthology","changed mind",books,52,5,4266.1,853.22,9.62
266,"hardcover guide","wrong item",books,52,5,482.7,96.54,9.62
505,"illustrated memoir","wrong item",books,52,5,2883.87,576.77,9.62
836,"hardcover guide","wrong item",books,52,5,6460.02,1292.0,9.62
1035,"hardcover novel","wrong item",books,52,5,645.9,129.18,9.62
815,"illustrated memoir","wrong item",books,42,4,1878.2,469.55,9.52
1008,"modern memoir",defective,books,42,4,1940.04,485.01,9.52
1008,"modern memoir","wrong item",books,42,4,1293.36,323.34,9.52
362,"classic anthology",defective,books,53,5,931.84,186.37,9.43
918,"hardcover memoir",defective,books,53,5,2527.0,505.4,9.43
243,"illustrated memoir","wrong item",books,43,4,3326.5,831.63,9.3
852,"classic anthology","found a better price",books,54,5,2168.98,433.8,9.26
485,"illustrated guide","arrived damaged",books,44,4,3605.25,901.31,9.09
580,"classic guide","found a better price",books,55,5,5961.75,1192.35,9.09
676,"classic guide","arrived damaged",books,55,5,1485.0,297.0,9.09
677,"classic memoir","wrong item",books,44,4,3980.4,995.1,9.09
